id,main_id,other_model,self_model,price,image_url,stock,local_image_path
1,1,黑色,SW8077-1,5.5,https://cbu01.alicdn.com/img/ibank/O1CN01C59xgE1pixpBaCkjK_!!2215075955395-0-cib.jpg,95501,static\images\O1CN01C59xgE1pixpBaCkjK_!!2215075955395-0-cib.jpg
2,1,8077,SW8077-2,5.5,https://cbu01.alicdn.com/img/ibank/O1CN01kivjvd1pixpClWJNN_!!2215075955395-0-cib.jpg,96921,static\images\O1CN01kivjvd1pixpClWJNN_!!2215075955395-0-cib.jpg
3,1,银白,SW8077-3,5.5,https://cbu01.alicdn.com/img/ibank/O1CN01XOBggs1pixpBhkDIs_!!2215075955395-0-cib.jpg,96652,static\images\O1CN01XOBggs1pixpBhkDIs_!!2215075955395-0-cib.jpg
4,2,黑色,EW91-1,4.48,https://cbu01.alicdn.com/img/ibank/O1CN01X7b1ZZ2JHsWe7Psx0_!!2212270079397-0-cib.jpg,78392,static\images\O1CN01X7b1ZZ2JHsWe7Psx0_!!2212270079397-0-cib.jpg
5,2,银色,EW91-2,3.6,https://cbu01.alicdn.com/img/ibank/O1CN01D94G0J2JHsWe7Obvd_!!2212270079397-0-cib.jpg,46504,static\images\O1CN01D94G0J2JHsWe7Obvd_!!2212270079397-0-cib.jpg
6,2,金色,EW91-3,4.48,https://cbu01.alicdn.com/img/ibank/O1CN0131WQfM2JHsWXnfReZ_!!2212270079397-0-cib.jpg,88382,static\images\O1CN0131WQfM2JHsWXnfReZ_!!2212270079397-0-cib.jpg
7,2,玫瑰金,EW91-4,4.48,https://cbu01.alicdn.com/img/ibank/O1CN01IrpP9M2JHsWVCL0w1_!!2212270079397-0-cib.jpg,90788,static\images\O1CN01IrpP9M2JHsWVCL0w1_!!2212270079397-0-cib.jpg
8,2,手表盒,手表盒,1.44,https://cbu01.alicdn.com/img/ibank/O1CN01VfAksX1pixblMzAeI_!!2215075955395-0-cib.jpg,7647,static\images\O1CN01VfAksX1pixblMzAeI_!!2215075955395-0-cib.jpg
9,3,黑面银针黑壳黑带,QW492-1,7.8,https://cbu01.alicdn.com/img/ibank/O1CN01A128Wc1nP9C9CRtnG_!!2201286885081-0-cib.jpg,15434,static\images\O1CN01A128Wc1nP9C9CRtnG_!!2201286885081-0-cib.jpg
10,3,黑面银壳黑带,QW492-2,7.8,https://cbu01.alicdn.com/img/ibank/O1CN01zXLoiW1nP9CG8W8Zg_!!2201286885081-0-cib.jpg,14949,static\images\O1CN01zXLoiW1nP9CG8W8Zg_!!2201286885081-0-cib.jpg
11,3,黑面玫金针黑壳黑带,QW492-3,7.8,https://cbu01.alicdn.com/img/ibank/O1CN01tZJWZh1nP9CROQuTG_!!2201286885081-0-cib.jpg,15238,static\images\O1CN01tZJWZh1nP9CROQuTG_!!2201286885081-0-cib.jpg
12,3,黑面玫金壳黑带,QW492-4,7.8,https://cbu01.alicdn.com/img/ibank/O1CN01z1PM7T1nP9CDwxeFW_!!2201286885081-0-cib.jpg,15641,static\images\O1CN01z1PM7T1nP9CDwxeFW_!!2201286885081-0-cib.jpg
