id,details_id,image_url,local_path,download_time
1,1,https://cbu01.alicdn.com/img/ibank/O1CN01C59xgE1pixpBaCkjK_!!2215075955395-0-cib.jpg,static\images\O1CN01C59xgE1pixpBaCkjK_!!2215075955395-0-cib.jpg,2025-07-06 07:25:56
2,2,https://cbu01.alicdn.com/img/ibank/O1CN01kivjvd1pixpClWJNN_!!2215075955395-0-cib.jpg,static\images\O1CN01kivjvd1pixpClWJNN_!!2215075955395-0-cib.jpg,2025-07-06 07:25:56
3,3,https://cbu01.alicdn.com/img/ibank/O1CN01XOBggs1pixpBhkDIs_!!2215075955395-0-cib.jpg,static\images\O1CN01XOBggs1pixpBhkDIs_!!2215075955395-0-cib.jpg,2025-07-06 07:25:56
4,4,https://cbu01.alicdn.com/img/ibank/O1CN01X7b1ZZ2JHsWe7Psx0_!!2212270079397-0-cib.jpg,static\images\O1CN01X7b1ZZ2JHsWe7Psx0_!!2212270079397-0-cib.jpg,2025-07-06 07:27:10
5,5,https://cbu01.alicdn.com/img/ibank/O1CN01D94G0J2JHsWe7Obvd_!!2212270079397-0-cib.jpg,static\images\O1CN01D94G0J2JHsWe7Obvd_!!2212270079397-0-cib.jpg,2025-07-06 07:27:10
6,6,https://cbu01.alicdn.com/img/ibank/O1CN0131WQfM2JHsWXnfReZ_!!2212270079397-0-cib.jpg,static\images\O1CN0131WQfM2JHsWXnfReZ_!!2212270079397-0-cib.jpg,2025-07-06 07:27:10
7,7,https://cbu01.alicdn.com/img/ibank/O1CN01IrpP9M2JHsWVCL0w1_!!2212270079397-0-cib.jpg,static\images\O1CN01IrpP9M2JHsWVCL0w1_!!2212270079397-0-cib.jpg,2025-07-06 07:27:10
8,8,https://cbu01.alicdn.com/img/ibank/O1CN01VfAksX1pixblMzAeI_!!2215075955395-0-cib.jpg,static\images\O1CN01VfAksX1pixblMzAeI_!!2215075955395-0-cib.jpg,2025-07-06 07:27:10
9,9,https://cbu01.alicdn.com/img/ibank/O1CN01A128Wc1nP9C9CRtnG_!!2201286885081-0-cib.jpg,static\images\O1CN01A128Wc1nP9C9CRtnG_!!2201286885081-0-cib.jpg,2025-07-06 07:27:27
10,10,https://cbu01.alicdn.com/img/ibank/O1CN01zXLoiW1nP9CG8W8Zg_!!2201286885081-0-cib.jpg,static\images\O1CN01zXLoiW1nP9CG8W8Zg_!!2201286885081-0-cib.jpg,2025-07-06 07:27:27
11,11,https://cbu01.alicdn.com/img/ibank/O1CN01tZJWZh1nP9CROQuTG_!!2201286885081-0-cib.jpg,static\images\O1CN01tZJWZh1nP9CROQuTG_!!2201286885081-0-cib.jpg,2025-07-06 07:27:27
12,12,https://cbu01.alicdn.com/img/ibank/O1CN01z1PM7T1nP9CDwxeFW_!!2201286885081-0-cib.jpg,static\images\O1CN01z1PM7T1nP9CDwxeFW_!!2201286885081-0-cib.jpg,2025-07-06 07:27:27
13,13,https://cbu01.alicdn.com/img/ibank/O1CN01HA8qeR1nP9CPLi239_!!2201286885081-0-cib.jpg,static\images\O1CN01HA8qeR1nP9CPLi239_!!2201286885081-0-cib.jpg,2025-07-06 07:27:27
14,14,https://cbu01.alicdn.com/img/ibank/O1CN01VJ2ZfV1nP9CNSmvFZ_!!2201286885081-0-cib.jpg,static\images\O1CN01VJ2ZfV1nP9CNSmvFZ_!!2201286885081-0-cib.jpg,2025-07-06 07:27:27
15,15,https://cbu01.alicdn.com/img/ibank/12268255377_629701207.jpg,static\images\12268255377_629701207.jpg,2025-07-06 07:27:42
16,16,https://cbu01.alicdn.com/img/ibank/12237957618_629701207.jpg,static\images\12237957618_629701207.jpg,2025-07-06 07:27:42
17,17,https://cbu01.alicdn.com/img/ibank/12237978173_629701207.jpg,static\images\12237978173_629701207.jpg,2025-07-06 07:27:42
18,18,https://cbu01.alicdn.com/img/ibank/12310529506_629701207.jpg,static\images\12310529506_629701207.jpg,2025-07-06 07:27:42
19,19,https://cbu01.alicdn.com/img/ibank/12953504450_629701207.jpg,static\images\12953504450_629701207.jpg,2025-07-06 07:27:52
20,20,https://cbu01.alicdn.com/img/ibank/12913126905_629701207.jpg,static\images\12913126905_629701207.jpg,2025-07-06 07:27:52
21,21,https://cbu01.alicdn.com/img/ibank/12913156290_629701207.jpg,static\images\12913156290_629701207.jpg,2025-07-06 07:27:52
22,22,https://cbu01.alicdn.com/img/ibank/12913129968_629701207.jpg,static\images\12913129968_629701207.jpg,2025-07-06 07:27:52
23,23,https://cbu01.alicdn.com/img/ibank/12953501930_629701207.jpg,static\images\12953501930_629701207.jpg,2025-07-06 07:27:52
24,24,https://cbu01.alicdn.com/img/ibank/O1CN01THdmSQ1Nj8cwmNkzV_!!949881605-0-cib.jpg,static\images\O1CN01THdmSQ1Nj8cwmNkzV_!!949881605-0-cib.jpg,2025-07-06 07:27:52
25,25,https://cbu01.alicdn.com/img/ibank/O1CN011azt391Nj8cpak5FE_!!949881605-0-cib.jpg,static\images\O1CN011azt391Nj8cpak5FE_!!949881605-0-cib.jpg,2025-07-07 01:56:11
26,26,https://cbu01.alicdn.com/img/ibank/O1CN014lR1mC1Nj8gBCDc3i_!!949881605-0-cib.jpg,static\images\O1CN014lR1mC1Nj8gBCDc3i_!!949881605-0-cib.jpg,2025-07-07 01:56:11
27,27,https://cbu01.alicdn.com/img/ibank/O1CN01DkBuxr1Nj8TRmx0MK_!!949881605-0-cib.jpg,static\images\O1CN01DkBuxr1Nj8TRmx0MK_!!949881605-0-cib.jpg,2025-07-07 03:33:35
28,28,https://cbu01.alicdn.com/img/ibank/O1CN01R3cjHu1Nj8TKlgMTS_!!949881605-0-cib.jpg,static\images\O1CN01R3cjHu1Nj8TKlgMTS_!!949881605-0-cib.jpg,2025-07-07 05:33:30
29,29,https://cbu01.alicdn.com/img/ibank/O1CN01KpCaDo1nP9PXJmouF_!!2201286885081-0-cib.jpg,static\images\O1CN01KpCaDo1nP9PXJmouF_!!2201286885081-0-cib.jpg,2025-07-07 05:33:30
30,30,https://cbu01.alicdn.com/img/ibank/O1CN017xDs111nP99omKeJy_!!2201286885081-0-cib.jpg,static\images\O1CN017xDs111nP99omKeJy_!!2201286885081-0-cib.jpg,2025-07-07 06:20:25
31,31,https://cbu01.alicdn.com/img/ibank/O1CN01joSPun1nP99tesrxw_!!2201286885081-0-cib.jpg,static\images\O1CN01joSPun1nP99tesrxw_!!2201286885081-0-cib.jpg,2025-07-07 06:20:25
32,32,https://cbu01.alicdn.com/img/ibank/O1CN016ze7FN1nP9A5OZhWE_!!2201286885081-0-cib.jpg,static\images\O1CN016ze7FN1nP9A5OZhWE_!!2201286885081-0-cib.jpg,2025-07-07 06:20:25
33,33,https://cbu01.alicdn.com/img/ibank/O1CN01PsiXv91nP9Hmuyxo9_!!2201286885081-0-cib.jpg,static\images\O1CN01PsiXv91nP9Hmuyxo9_!!2201286885081-0-cib.jpg,2025-07-07 08:21:21
34,34,https://cbu01.alicdn.com/img/ibank/O1CN01IQBcpv1nP9HcwozMn_!!2201286885081-0-cib.jpg,static\images\O1CN01IQBcpv1nP9HcwozMn_!!2201286885081-0-cib.jpg,2025-07-07 08:21:21
35,35,https://cbu01.alicdn.com/img/ibank/O1CN01rFujlu1nP9Hi3iWw5_!!2201286885081-0-cib.jpg,static\images\O1CN01rFujlu1nP9Hi3iWw5_!!2201286885081-0-cib.jpg,2025-07-07 08:21:21
36,36,https://cbu01.alicdn.com/img/ibank/O1CN01QorDQ91nP9HjEcV1V_!!2201286885081-0-cib.jpg,static\images\O1CN01QorDQ91nP9HjEcV1V_!!2201286885081-0-cib.jpg,2025-07-07 08:21:21
37,37,https://cbu01.alicdn.com/img/ibank/O1CN01nu9wUQ1nP9Hg1lj1H_!!2201286885081-0-cib.jpg,static\images\O1CN01nu9wUQ1nP9Hg1lj1H_!!2201286885081-0-cib.jpg,2025-07-07 08:21:21
38,38,https://cbu01.alicdn.com/img/ibank/O1CN012sz9Sg1nP9MeeihE5_!!2201286885081-0-cib.jpg,static\images\O1CN012sz9Sg1nP9MeeihE5_!!2201286885081-0-cib.jpg,2025-07-07 08:21:21
39,39,https://cbu01.alicdn.com/img/ibank/O1CN018MqY7x1nP9OgFzCzN_!!2201286885081-0-cib.jpg,static\images\O1CN018MqY7x1nP9OgFzCzN_!!2201286885081-0-cib.jpg,2025-07-07 08:21:21
40,40,https://cbu01.alicdn.com/img/ibank/O1CN01ZiZOT11IhF0gYS3rh_!!2643320924-0-cib.jpg,static\images\O1CN01ZiZOT11IhF0gYS3rh_!!2643320924-0-cib.jpg,2025-07-08 02:40:47
